bbl,UnitCount_by_BBL,borough,block,lot,cd,bct2020,address,latitude,longitude,FIPS,GEOID,geometry
1000160185,253,MN,16,185,101,031703,211 NORTH END AVENUE,40.7162855,-74.015461,061,061031703,POINT (-74.015461 40.7162855)
1000420022,287,MN,42,22,101,000700,10 LIBERTY STREET,40.707363,-74.0081948,061,061000700,POINT (-74.0081948 40.707363)
1000690006,189,MN,69,6,101,001502,211 PEARL STREET,40.7070831,-74.006752,061,061001502,POINT (-74.006752 40.7070831)
1000690018,650,MN,69,18,101,001502,2 GOLD STREET,40.7074097,-74.0069324,061,061001502,POINT (-74.0069324 40.7074097)
1000760006,120,MN,76,6,101,001502,56 FULTON STREET,40.7085242,-74.0051687,061,061001502,POINT (-74.0051687 40.7085242)
1000780047,483,MN,78,47,101,001502,114 FULTON STREET,40.7098141,-74.0073799,061,061001502,POINT (-74.0073799 40.7098141)
1000880014,396,MN,88,14,101,002100,10 BARCLAY STREET,40.7122184,-74.009144,061,061002100,POINT (-74.009144 40.7122184)
1000900017,168,MN,90,17,101,001501,113 NASSAU STREET,40.7108763,-74.0073692,061,061001501,POINT (-74.0073692 40.7108763)
1000970018,29,MN,97,18,101,001501,213 FRONT STREET,40.707248,-74.0022831,061,061001501,POINT (-74.0022831 40.707248)
1000970032,9,MN,97,32,101,001501,24 PECK SLIP,40.7078683,-74.0019405,061,061001501,POINT (-74.0019405 40.7078683)
1000977504,13,MN,97,7504,101,001501,214 FRONT STREET,40.7074922,-74.0025753,061,061001501,POINT (-74.0025753 40.7074922)
1001007502,899,MN,100,7502,101,001501,8 SPRUCE STREET,40.7109698,-74.0056775,061,061001501,POINT (-74.0056775 40.7109698)
1001427501,381,MN,142,7501,101,002100,270 GREENWICH STREET,40.7156271,-74.0121169,061,061002100,POINT (-74.0121169 40.7156271)
1001497503,18,MN,149,7503,101,002100,87 CHAMBERS STREET,40.71487,-74.007063,061,061002100,POINT (-74.007063 40.71487)
1001700020,331,MN,170,20,101,003100,111 WORTH STREET,40.7160559,-74.0034919,061,061003100,POINT (-74.0034919 40.7160559)
1001730027,358,MN,173,27,101,003300,343 BROADWAY,40.7169122,-74.0046715,061,061003300,POINT (-74.0046715 40.7169122)
1002487501,1021,MN,248,7501,103,000600,225 CHERRY STREET,40.7104563,-73.9912386,061,061000600,POINT (-73.9912386 40.7104563)
1003450017,78,MN,345,17,103,002201,331 EAST HOUSTON STREET,40.7207674,-73.9825934,061,061002201,POINT (-73.9825934 40.7207674)
1003467501,211,MN,346,7501,103,001402,145 CLINTON STREET,40.7165822,-73.9867574,061,061001402,POINT (-73.9867574 40.7165822)
1003467502,263,MN,346,7502,103,001402,180 BROOME STREET,40.7173315,-73.9864543,061,061001402,POINT (-73.9864543 40.7173315)
1003527501,195,MN,352,7501,103,001800,125 DELANCEY STREET,40.717919,-73.9880486,061,061001800,POINT (-73.9880486 40.717919)
1003537504,38,MN,353,7504,103,001402,100 NORFOLK STREET,40.718638,-73.9870276,061,061001402,POINT (-73.9870276 40.718638)
1003550054,88,MN,355,54,103,003001,255 EAST HOUSTON STREET,40.7214896,-73.9851294,061,061003001,POINT (-73.9851294 40.7214896)
1003557501,7,MN,355,7501,103,003001,265 EAST HOUSTON STREET,40.721506,-73.9849346,061,061003001,POINT (-73.9849346 40.721506)
1003720031,33,MN,372,31,103,002202,316 EAST 3 STREET,40.7206927,-73.9789246,061,061002202,POINT (-73.9789246 40.7206927)
1003720041,135,MN,372,41,103,002202,310 EAST 2 STREET,40.7203523,-73.9788561,061,061002202,POINT (-73.9788561 40.7203523)
1003767501,110,MN,376,7501,103,002602,79 AVENUE D,40.7228799,-73.9769757,061,061002602,POINT (-73.9769757 40.7228799)
1003777503,78,MN,377,7503,103,002602,101 AVENUE D,40.7235056,-73.9765787,061,061002602,POINT (-73.9765787 40.7235056)
1003787501,30,MN,378,7501,103,002602,399 EAST 8 STREET,40.7240133,-73.9763295,061,061002602,POINT (-73.9763295 40.7240133)
1003917501,5,MN,391,7501,103,002602,331 EAST 8 STREET,40.7251941,-73.9790422,061,061002602,POINT (-73.9790422 40.7251941)
1003947507,40,MN,394,7507,103,002800,185 AVENUE B,40.727818,-73.9789223,061,061002800,POINT (-73.9789223 40.727818)
1004067502,5,MN,406,7502,103,003400,525 EAST 12 STREET,40.7287789,-73.9800044,061,061003400,POINT (-73.9800044 40.7287789)
1004077503,106,MN,407,7503,103,003400,500 EAST 14 STREET,40.7298438,-73.9798526,061,061003400,POINT (-73.9798526 40.7298438)
1004077504,54,MN,407,7504,103,003400,524 EAST 14 STREET,40.7295747,-73.9791202,061,061003400,POINT (-73.9791202 40.7295747)
1004097502,55,MN,409,7502,103,001800,242 BROOME STREET,40.7180591,-73.9890082,061,061001800,POINT (-73.9890082 40.7180591)
1004100034,29,MN,410,34,103,001800,86 DELANCEY STREET,40.7192668,-73.989495,061,061001800,POINT (-73.989495 40.7192668)
1004120053,243,MN,412,53,103,003001,207 EAST HOUSTON STREET,40.7218906,-73.9869728,061,061003001,POINT (-73.9869728 40.7218906)
1004340010,8,MN,434,10,103,003200,92 EAST 7 STREET,40.7266333,-73.9854746,061,061003200,POINT (-73.9854746 40.7266333)
1004417504,114,MN,441,7504,103,003400,433 EAST 13 STREET,40.730286,-73.9812488,061,061003400,POINT (-73.9812488 40.730286)
1004560007,206,MN,456,7,103,003602,285 BOWERY,40.7243942,-73.9918031,061,061003602,POINT (-73.9918031 40.7243942)
1004567501,65,MN,456,7501,103,003602,11 2 AVENUE,40.7241883,-73.9912404,061,061003602,POINT (-73.9912404 40.7241883)
1004570028,90,MN,457,28,103,003602,21 2 AVENUE,40.7247235,-73.9912186,061,061003602,POINT (-73.9912186 40.7247235)
1004697506,83,MN,469,7506,103,004002,214 EAST 14 STREET,40.7325759,-73.9867867,061,061004002,POINT (-73.9867867 40.7325759)
1005567502,85,MN,556,7502,103,004200,84 3 AVENUE,40.7318707,-73.988627,061,061004200,POINT (-73.988627 40.7318707)
1005780071,101,MN,578,71,102,003700,111 VARICK STREET,40.7245975,-74.0063136,061,061003700,POINT (-74.0063136 40.7245975)
1005800011,122,MN,580,11,102,003700,70 CHARLTON STREET,40.7269195,-74.0064401,061,061003700,POINT (-74.0064401 40.7269195)
1005947511,201,MN,594,7511,102,003700,261 HUDSON STREET,40.7251683,-74.0080743,061,061003700,POINT (-74.0080743 40.7251683)
1005957509,108,MN,595,7509,101,003900,456 WASHINGTON STREET,40.7244654,-74.0106538,061,061003900,POINT (-74.0106538 40.7244654)
1006050001,33,MN,605,1,102,006900,643 GREENWICH STREET,40.731989,-74.0074942,061,061006900,POINT (-74.0074942 40.731989)
1006990033,89,MN,699,33,104,009902,303 10 AVENUE,40.7507084,-74.0023785,061,061009902,POINT (-74.0023785 40.7507084)
1007000009,710,MN,700,9,104,009902,539 WEST 28 STREET,40.7518475,-74.0036093,061,061009902,POINT (-74.0036093 40.7518475)
1007000027,372,MN,700,27,104,009902,509 WEST 28 STREET,40.7518228,-74.0025337,061,061009902,POINT (-74.0025337 40.7518228)
1007010016,179,MN,701,16,104,009902,520 WEST 30 STREET,40.7524321,-74.0024363,061,061009902,POINT (-74.0024363 40.7524321)
1007010062,369,MN,701,62,104,009902,312 11 AVENUE,40.7528027,-74.0032989,061,061009902,POINT (-74.0032989 40.7528027)
1007017501,139,MN,701,7501,104,009902,529 WEST 29 STREET,40.7523251,-74.0029452,061,061009902,POINT (-74.0029452 40.7523251)
1007017502,390,MN,701,7502,104,009902,500 WEST 30 STREET,40.7519848,-74.0017036,061,061009902,POINT (-74.0017036 40.7519848)
1007027502,784,MN,702,7502,104,009903,553 WEST 30 STREET,40.7532665,-74.0028405,061,061009903,POINT (-74.0028405 40.7532665)
1007027503,143,MN,702,7503,104,009903,34 HUDSON YARDS,40.7545621,-74.0022378,061,061009903,POINT (-74.0022378 40.7545621)
1007080020,251,MN,708,20,104,009903,515 WEST 36 STREET,40.7565026,-73.9989966,061,061009903,POINT (-73.9989966 40.7565026)
1007090031,835,MN,709,31,104,009903,505 WEST 37 STREET,40.7570598,-73.9981664,061,061009903,POINT (-73.9981664 40.7570598)
1007107501,225,MN,710,7501,104,011700,509 WEST 38 STREET,40.7576828,-73.9979714,061,061011700,POINT (-73.9979714 40.7576828)
1007147501,469,MN,714,7501,104,008300,450 WEST 17 STREET,40.7434868,-74.0063876,061,061008300,POINT (-74.0063876 40.7434868)
1007237502,168,MN,723,7502,104,009300,401 WEST 25 STREET,40.7480927,-74.000563,061,061009300,POINT (-74.000563 40.7480927)
1007297502,845,MN,729,7502,104,010300,371 9 AVENUE,40.752391,-73.998744,061,061010300,POINT (-73.998744 40.752391)
1007330008,117,MN,733,8,104,011100,453 WEST 35 STREET,40.7551137,-73.9975059,061,061011100,POINT (-73.9975059 40.7551137)
1007330023,186,MN,733,23,104,011100,421 WEST 35 STREET,40.7546526,-73.9965133,061,061011100,POINT (-73.9965133 40.7546526)
1007340037,259,MN,734,37,104,011100,400 WEST 37 STREET,40.7551933,-73.9954882,061,061011100,POINT (-73.9954882 40.7551933)
1007350006,394,MN,735,6,104,011100,453 WEST 37 STREET,40.7566233,-73.9970871,061,061011100,POINT (-73.9970871 40.7566233)
1007387504,37,MN,738,7504,104,008300,345 WEST 14 STREET,40.7408684,-74.0044459,061,061008300,POINT (-74.0044459 40.7408684)
1007600068,207,MN,760,68,104,011100,352 WEST 37 STREET,40.7548227,-73.9943946,061,061011100,POINT (-73.9943946 40.7548227)
1007610043,569,MN,761,43,104,011100,320 WEST 38 STREET,40.7549681,-73.9931962,061,061011100,POINT (-73.9931962 40.7549681)
1007620060,205,MN,762,60,104,011500,334 WEST 39 STREET,40.7557613,-73.992893,061,061011500,POINT (-73.992893 40.7557613)
1007757502,204,MN,775,7502,104,009100,306 8 AVENUE,40.7467917,-73.9967772,061,061009100,POINT (-73.9967772 40.7467917)
1007790027,95,MN,779,27,105,009500,221 WEST 29 STREET,40.7484109,-73.993648,061,061009500,POINT (-73.993648 40.7484109)
1007790031,55,MN,779,31,105,009500,211 WEST 29 STREET,40.7483011,-73.9933918,061,061009500,POINT (-73.9933918 40.7483011)
1007970007,110,MN,797,7,104,008700,163 WEST 21 STREET,40.7427102,-73.9957561,061,061008700,POINT (-73.9957561 40.7427102)
1007977508,50,MN,797,7508,104,008700,153 WEST 21 STREET,40.7425921,-73.995471,061,061008700,POINT (-73.995471 40.7425921)
1008067502,382,MN,806,7502,105,010100,855 AVENUE OF THE AMER,40.7477931,-73.989855,061,061010100,POINT (-73.989855 40.7477931)
1008077501,458,MN,807,7501,105,010100,132 WEST 32 STREET,40.7487236,-73.99014,061,061010100,POINT (-73.99014 40.7487236)
1008177503,55,MN,817,7503,105,005400,31 WEST 15 STREET,40.737561,-73.9946017,061,061005400,POINT (-73.9946017 40.737561)
1008237507,289,MN,823,7507,105,005800,7 WEST 21 STREET,40.7409423,-73.9911299,061,061005800,POINT (-73.9911299 40.7409423)
1008270001,407,MN,827,1,105,005800,55 WEST 25 STREET,40.7443376,-73.9912233,061,061005800,POINT (-73.9912233 40.7443376)
1008290001,266,MN,829,1,105,005800,796 AVENUE OF THE AMER,40.7455891,-73.9904436,061,061005800,POINT (-73.9904436 40.7455891)
1008337502,283,MN,833,7502,105,007600,9 WEST 31 STREET,40.7470874,-73.9866756,061,061007600,POINT (-73.9866756 40.7470874)
1008340069,223,MN,834,69,105,007600,42 WEST 33 STREET,40.7484104,-73.9871228,061,061007600,POINT (-73.9871228 40.7484104)
1008350015,170,MN,835,15,105,007600,35 WEST 33 STREET,40.7487644,-73.9868304,061,061007600,POINT (-73.9868304 40.7487644)
1008397502,374,MN,839,7502,105,008400,66 WEST 38 STREET,40.7519702,-73.9857073,061,061008400,POINT (-73.9857073 40.7519702)
1008577503,350,MN,857,7503,105,005600,402 PARK AVENUE SOUTH,40.7432554,-73.9846157,061,061005600,POINT (-73.9846157 40.7432554)
1008610059,70,MN,861,59,105,007400,145 MADISON AVENUE,40.7461154,-73.9838139,061,061007400,POINT (-73.9838139 40.7461154)
1008627504,318,MN,862,7504,105,007400,160 MADISON AVENUE,40.746991,-73.9839761,061,061007400,POINT (-73.9839761 40.746991)
1008890019,37,MN,889,19,106,007200,227 LEXINGTON AVENUE,40.7459363,-73.9797466,061,061007200,POINT (-73.9797466 40.7459363)
1009190058,21,MN,919,58,106,007800,202 EAST 39 STREET,40.748532,-73.9755088,061,061007800,POINT (-73.9755088 40.748532)
1009190059,70,MN,919,59,106,007800,593 3 AVENUE,40.7486062,-73.9756748,061,061007800,POINT (-73.9756748 40.7486062)
1009197501,53,MN,919,7501,106,007800,210 EAST 39 STREET,40.7484414,-73.9754186,061,061007800,POINT (-73.9754186 40.7484414)
1009197502,71,MN,919,7502,106,007800,591 3 AVENUE,40.7484333,-73.975747,061,061007800,POINT (-73.975747 40.7484333)
1009200013,372,MN,920,13,106,008800,222 EAST 40 STREET,40.7487075,-73.9745054,061,061008800,POINT (-73.9745054 40.7487075)
1009257501,7,MN,925,7501,106,006400,355 EAST 19 STREET,40.7348367,-73.9807351,061,061006400,POINT (-73.9807351 40.7348367)
1009270037,14,MN,927,37,106,006400,332 EAST 22 STREET,40.7363791,-73.9799733,061,061006400,POINT (-73.9799733 40.7363791)
1009337501,55,MN,933,7501,106,006600,335 EAST 27 STREET,40.7398535,-73.9774173,061,061006600,POINT (-73.9774173 40.7398535)
1009670001,761,MN,967,1,106,008601,626 1 AVENUE,40.744458,-73.9719411,061,061008601,POINT (-73.9719411 40.744458)
1010190001,464,MN,1019,1,105,012500,770 8 AVENUE,40.7605092,-73.9869978,061,061012500,POINT (-73.9869978 40.7605092)
1010210001,550,MN,1021,1,105,012500,250 WEST 50 STREET,40.7618265,-73.9858171,061,061012500,POINT (-73.9858171 40.7618265)
1010257502,394,MN,1025,7502,105,013100,890 8 AVENUE,40.7643323,-73.9841668,061,061013100,POINT (-73.9841668 40.7643323)
1010330001,256,MN,1033,1,104,012101,360 WEST 43 STREET,40.7586158,-73.9919072,061,061012101,POINT (-73.9919072 40.7586158)
1010330009,268,MN,1033,9,104,012101,349 WEST 42 STREET,40.7582727,-73.9915102,061,061012101,POINT (-73.9915102 40.7582727)
1010450006,33,MN,1045,6,104,013900,351 WEST 54 STREET,40.7658916,-73.9863361,061,061013900,POINT (-73.9863361 40.7658916)
1010517502,872,MN,1051,7502,104,011500,560 10 AVENUE,40.7590386,-73.9949718,061,061011500,POINT (-73.9949718 40.7590386)
1010640036,149,MN,1064,36,104,013900,831 9 AVENUE,40.7666547,-73.9873395,061,061013900,POINT (-73.9873395 40.7666547)
1010680003,729,MN,1068,3,104,014500,400 WEST 59 STREET,40.769166,-73.9857036,061,061014500,POINT (-73.9857036 40.769166)
1010697501,598,MN,1069,7501,104,011700,551 10 AVENUE,40.7587587,-73.9964987,061,061011700,POINT (-73.9964987 40.7587587)
1010700029,417,MN,1070,29,104,011700,561 10 AVENUE,40.7593571,-73.9962857,061,061011700,POINT (-73.9962857 40.7593571)
1010710042,375,MN,1071,42,104,012901,520 WEST 43 STREET,40.7605401,-73.9963794,061,061012901,POINT (-73.9963794 40.7605401)
1010720001,164,MN,1072,1,104,012901,572 11 AVENUE,40.76166,-73.9973215,061,061012901,POINT (-73.9973215 40.76166)
