cartodb_id,bbl,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,tax_delinquency,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,net_inc_sqft,gross_exp_sqft,standard_address,inc_tar_info,inc_tar_units_0bed,inc_tar_units_1bed,inc_tar_units_2bed,inc_tar_units_3bed,inc_tar_units_4bed,floodplain_flag,applied_filters
9375640,1019230001,36061021800,Central Harlem,City Council District 9,MN 10 - Central Harlem,Manhattan,New York City,1,,7950600,"FRED-DOUG 117, L.CL.",138,2003,1,,,2170 8 Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9375716,1019247502,36061022000,Central Harlem,City Council District 9,MN 10 - Central Harlem,Manhattan,New York City,1,,1289332,2216 CONDOMINIUM,18,2003,1,,,276 West 119 Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9375749,1019257501,36061022000,Central Harlem,City Council District 9,MN 10 - Central Harlem,Manhattan,New York City,1,,4906469,2216 CONDOMINIUM,62,,2,,,2216 Fredrick Douglass Bl,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9365521,1019437503,36061020102,Central Harlem,City Council District 9,MN 10 - Central Harlem,Manhattan,New York City,1,,11001408,UNAVAILABLE OWNER,116,2005,1,,,304 West 117 Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9367131,1019457503,36061025700,Central Harlem,City Council District 9,MN 10 - Central Harlem,Manhattan,New York City,1,,10984490,UNAVAILABLE OWNER,123,2006,1,,,444 Manhattan Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9367562,1019467502,36061025700,Central Harlem,City Council District 9,MN 10 - Central Harlem,Manhattan,New York City,1,,11843764,SUSAN'S COURT CONDOMINIUM,125,2007,1,,,454 Manhattan Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9365115,1019540036,36061021500,Central Harlem,City Council District 9,MN 10 - Central Harlem,Manhattan,New York City,1,,6300000,"SITE 8 APARTMENTS, L.P.",70,2009,1,,,2381 8 Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9365122,1019547501,36061021500,Central Harlem,City Council District 9,MN 10 - Central Harlem,Manhattan,New York City,1,,19097551,UNAVAILABLE OWNER,156,2009,2,,,311 West 127 Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9373213,1018477507,36061019702,Central Harlem,City Council District 9,MN 10 - Central Harlem,Manhattan,New York City,,,957151,WEST 114 LLC,8,2015,1,,,310 West 114th Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9380941,2027427501,36005011900,Mott Haven/Hunts Point,City Council District 17,BX 02 - Hunts Point/Longwood,Bronx,New York City,1,1,10245741,962 ALDUS STREET CONDO,300,2005,2,,,951 Hoe Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9334675,1000900017,36061001501,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,1,,20667150,ANN/NASSAU REALTY LLC,168,2012,1,,,113 Nassau Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9335716,1001427501,36061002100,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,1,,155863316,270 GREENWICH STREET ASSOCIATES,381,2006,1,,,270 Greenwich Street,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9335776,1001700020,36061003100,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,1,,39115350,"FC FOLEY SQUARE ASSOCIATES,",331,2001,1,,,111 Worth Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9336809,1003467501,36061001402,Lower East Side/Chinatown,City Council District 1,MN 03 - Lower East Side/Chinatown,Manhattan,New York City,1,1,50359051,UNAVAILABLE OWNER,211,2015,1,,,145 Clinton Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9336978,1003527501,36061001800,Lower East Side/Chinatown,City Council District 1,MN 03 - Lower East Side/Chinatown,Manhattan,New York City,1,,55478677,UNAVAILABLE OWNER,195,2016,1,,,125 Delancey Street,Breakdown available,40,17,42,5,0,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9335816,1003777503,36061002602,Lower East Side/Chinatown,City Council District 2,MN 03 - Lower East Side/Chinatown,Manhattan,New York City,1,,16221138,UNAVAILABLE OWNER,78,2010,1,,,101 Avenue D,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9397479,2028140069,36005038100,University Heights/Fordham,City Council District 15,BX 05 - Fordham/University Heights,Bronx,New York City,1,1,2800350,"SENIOR LIVING OPTIONS, INC.",114,2006,1,,,270 East Burnside Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9382959,2028390053,36005022102,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,1,1,1685700,"ATLANTIC LAND EAST CLARKE, LLC",64,2004,1,8.7,7.4,128 East Clarke Place,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9398314,2028690171,36005024300,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,1,1,1936800,SENIOR LIVING OPTIONS INC,84,2005,1,7.3,5.5,31 West Tremont Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9384000,2028720036,36005021302,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,1,1,1211400,HIGHBRIDGE COMMUNITY HOUSING DEVELOPMENT,81,2006,1,4.7,8.3,1401 Jesup Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9383602,2028720058,36005021302,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,1,1,2901600,HIGHBRIDGE COMMUNITY HOUSING DEVELOPMENT  FUND CORP,127,2006,1,7.7,7.1,1404 Jesup Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9383616,2028720189,36005021302,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,1,1,713250,HIGHBRIDGE COMMUNITY HOUSING DEVELOPMENT  FUND CORP,49,2006,1,6,6,1450 Jesup Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9398395,2028720320,36005021302,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,1,1,1633500,"ATLANTIC LAND MACOMBS ROAD, LLC",90,2003,2,4.8,8.2,1491 Macombs Road,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9501298,3009007503,36047014700,Sunset Park,City Council District 38,BK 07 - Sunset Park,Brooklyn,New York City,1,,1729802,UNAVAILABLE OWNER,7,2006,1,,,324 22 Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9337990,1004570001,36061003602,Lower East Side/Chinatown,City Council District 2,MN 03 - Lower East Side/Chinatown,Manhattan,New York City,1,1,3069900,EXTRA PLACE HDFC,42,2005,1,,,3 Extra Place,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9342776,1005947511,36061003700,Greenwich Village/Financial District,City Council District 3,MN 02 - Greenwich Village/Soho,Manhattan,New York City,1,,28650928,UNAVAILABLE OWNER,201,2017,1,,,261 Hudson Street,Breakdown available,16,16,9,0,0,In 2020s Floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9399996,2028780019,36005021501,University Heights/Fordham,City Council District 14,BX 05 - Fordham/University Heights,Bronx,New York City,1,1,661950,"UNIMAC DEVELOPER, L.P.",30,2005,1,,,1605 University Avenue,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9343045,1005957509,36061003900,Greenwich Village/Financial District,City Council District 1,MN 01 - Financial District,Manhattan,New York City,1,,21201146,UNAVAILABLE OWNER,108,2013,1,,,456 Washington Street,Breakdown available,5,6,11,0,0,In 2020s Floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9346993,1007010062,36061009900,Chelsea/Clinton/Midtown,City Council District 3,MN 04 - Clinton/Chelsea,Manhattan,New York City,1,,31846950,ELEVENTH AVENUE L.P.,369,2008,1,,,312 11 Avenue,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9346994,1007017501,36061009900,Chelsea/Clinton/Midtown,City Council District 3,MN 04 - Clinton/Chelsea,Manhattan,New York City,1,1,19559476,UNAVAILABLE OWNER,139,2013,1,,,529 West 29 Street,Information unavailable,,,,,,In 2020s Floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9346995,1007017502,36061009900,Chelsea/Clinton/Midtown,City Council District 3,MN 04 - Clinton/Chelsea,Manhattan,New York City,1,,53135100,UNAVAILABLE OWNER,390,2013,1,,,500 West 30 Street,Breakdown available,26,33,19,0,0,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9344673,1007090031,36061009900,Chelsea/Clinton/Midtown,City Council District 3,MN 04 - Clinton/Chelsea,Manhattan,New York City,1,1,81808200,MIDTOWN WEST B L.L.C.,835,2007,1,,,505 West 37 Street,Breakdown available,1,1,1,0,0,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9344234,1007237502,36061009300,Chelsea/Clinton/Midtown,City Council District 3,MN 04 - Clinton/Chelsea,Manhattan,New York City,1,,19402200,UNAVAILABLE OWNER,168,2011,1,,,401 West 25 Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
9345335,1007600068,36061011100,Chelsea/Clinton/Midtown,City Council District 3,MN 04 - Clinton/Chelsea,Manhattan,New York City,1,,23429250,TOWER 37 LLC,207,2008,1,,,352 West 37 Street,Information unavailable,,,,,,Not in floodplain,"Has Subsidies, Subsidy Subtype is ""421-a Tax Incentive Program"""
