,GEOID,B19013_001E
1,360050001000,-
2,360050001001,-
3,360050002000,-
4,360050002001,123208
5,360050002002,115764
6,360050002003,81622
7,360050004000,-
8,360050004001,-
9,360050004002,71230
10,360050004003,129469
11,360050004004,103964
12,360050016001,37101
13,360050016002,34235
14,360050016003,41477
15,360050016004,68490
16,360050019011,49500
17,360050019021,67375
18,360050019031,-
19,360050019032,-
20,360050019040,-
21,360050019041,-
22,360050019042,-
23,360050020011,21875
24,360050020012,-
25,360050020013,34154
26,360050020021,40828
27,360050020022,-
28,360050020023,-
29,360050023001,30449
30,360050023002,-
31,360050023003,12407
32,360050024000,-
33,360050024001,-
34,360050025001,46094
35,360050025002,16786
36,360050025003,25998
37,360050025004,77551
38,360050025005,-
39,360050027011,27292
40,360050027012,20723
41,360050027021,32934
42,360050027022,-
43,360050027023,29567
44,360050027024,15391
45,360050028001,66637
46,360050028002,57313
47,360050028003,58700
48,360050028004,81067
49,360050031001,41370
50,360050033001,57679
51,360050033002,-
52,360050033003,22534
53,360050035001,48018
54,360050035002,31071
55,360050035003,34419
56,360050037001,-
57,360050038001,88077
58,360050039001,-
59,360050039002,-
60,360050039003,-
61,360050039004,32946
62,360050039005,-
63,360050040011,70536
64,360050041001,27112
65,360050041002,21396
66,360050041003,-
67,360050041004,35454
68,360050042001,67091
69,360050042002,12699
70,360050042003,51961
71,360050042004,122879
72,360050042005,120245
73,360050042006,-
74,360050042007,-
75,360050043001,-
76,360050043002,41827
77,360050043003,-
78,360050043004,34156
79,360050044001,16133
80,360050044002,16921
81,360050044003,17096
82,360050044004,22944
83,360050046001,17083
84,360050048001,-
85,360050048002,43333
86,360050050011,33984
87,360050050012,36471
88,360050050013,-
89,360050050014,38942
90,360050050021,34590
91,360050050022,-
92,360050050023,34583
93,360050050024,49875
94,360050051001,-
95,360050051002,23629
96,360050051003,18927
97,360050052001,42981
98,360050052002,28750
99,360050053001,20855
100,360050053002,30049
101,360050054001,58421
102,360050054002,50163
103,360050054003,60714
104,360050054004,28311
105,360050056001,15518
106,360050056002,-
107,360050056003,41184
108,360050059021,78558
109,360050059022,29605
110,360050060001,47375
111,360050060002,-
112,360050061001,-
113,360050061002,66583
114,360050061003,62250
115,360050061004,-
116,360050062001,33571
117,360050062002,23447
118,360050062003,30645
119,360050062004,-
120,360050062005,54135
121,360050063011,62857
122,360050063012,46023
123,360050063013,38442
124,360050063014,97328
125,360050063015,-
126,360050063016,56543
127,360050063021,-
128,360050064001,42027
129,360050064002,-
130,360050064003,-
131,360050064004,23173
