"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US360050001000","Block Group 0; Census Tract 1; Bronx County; New York","-","**",
"1500000US360050001001","Block Group 1; Census Tract 1; Bronx County; New York","-","**",
"1500000US360050002000","Block Group 0; Census Tract 2; Bronx County; New York","-","**",
"1500000US360050002001","Block Group 1; Census Tract 2; Bronx County; New York","123208","50463",
"1500000US360050002002","Block Group 2; Census Tract 2; Bronx County; New York","115764","27168",
"1500000US360050002003","Block Group 3; Census Tract 2; Bronx County; New York","81622","22782",
"1500000US360050004000","Block Group 0; Census Tract 4; Bronx County; New York","-","**",
"1500000US360050004001","Block Group 1; Census Tract 4; Bronx County; New York","-","**",
"1500000US360050004002","Block Group 2; Census Tract 4; Bronx County; New York","71230","40498",
"1500000US360050004003","Block Group 3; Census Tract 4; Bronx County; New York","129469","65378",
"1500000US360050004004","Block Group 4; Census Tract 4; Bronx County; New York","103964","7853",
"1500000US360050016001","Block Group 1; Census Tract 16; Bronx County; New York","37101","27361",
"1500000US360050016002","Block Group 2; Census Tract 16; Bronx County; New York","34235","7666",
"1500000US360050016003","Block Group 3; Census Tract 16; Bronx County; New York","41477","13426",
"1500000US360050016004","Block Group 4; Census Tract 16; Bronx County; New York","68490","50847",
"1500000US360050019011","Block Group 1; Census Tract 19.01; Bronx County; New York","49500","19070",
"1500000US360050019021","Block Group 1; Census Tract 19.02; Bronx County; New York","67375","24301",
"1500000US360050019031","Block Group 1; Census Tract 19.03; Bronx County; New York","-","**",
"1500000US360050019032","Block Group 2; Census Tract 19.03; Bronx County; New York","-","**",
"1500000US360050019040","Block Group 0; Census Tract 19.04; Bronx County; New York","-","**",
"1500000US360050019041","Block Group 1; Census Tract 19.04; Bronx County; New York","-","**",
"1500000US360050019042","Block Group 2; Census Tract 19.04; Bronx County; New York","-","**",
"1500000US360050020011","Block Group 1; Census Tract 20.01; Bronx County; New York","21875","16665",
"1500000US360050020012","Block Group 2; Census Tract 20.01; Bronx County; New York","-","**",
"1500000US360050020013","Block Group 3; Census Tract 20.01; Bronx County; New York","34154","15403",
"1500000US360050020021","Block Group 1; Census Tract 20.02; Bronx County; New York","40828","40564",
"1500000US360050020022","Block Group 2; Census Tract 20.02; Bronx County; New York","-","**",
"1500000US360050020023","Block Group 3; Census Tract 20.02; Bronx County; New York","-","**",
"1500000US360050023001","Block Group 1; Census Tract 23; Bronx County; New York","30449","12879",
"1500000US360050023002","Block Group 2; Census Tract 23; Bronx County; New York","-","**",
"1500000US360050023003","Block Group 3; Census Tract 23; Bronx County; New York","12407","5194",
"1500000US360050024000","Block Group 0; Census Tract 24; Bronx County; New York","-","**",
"1500000US360050024001","Block Group 1; Census Tract 24; Bronx County; New York","-","**",
"1500000US360050025001","Block Group 1; Census Tract 25; Bronx County; New York","46094","13164",
"1500000US360050025002","Block Group 2; Census Tract 25; Bronx County; New York","16786","5550",
"1500000US360050025003","Block Group 3; Census Tract 25; Bronx County; New York","25998","9963",
"1500000US360050025004","Block Group 4; Census Tract 25; Bronx County; New York","77551","46476",
"1500000US360050025005","Block Group 5; Census Tract 25; Bronx County; New York","-","**",
"1500000US360050027011","Block Group 1; Census Tract 27.01; Bronx County; New York","27292","13124",
"1500000US360050027012","Block Group 2; Census Tract 27.01; Bronx County; New York","20723","6295",
"1500000US360050027021","Block Group 1; Census Tract 27.02; Bronx County; New York","32934","5597",
"1500000US360050027022","Block Group 2; Census Tract 27.02; Bronx County; New York","-","**",
"1500000US360050027023","Block Group 3; Census Tract 27.02; Bronx County; New York","29567","22128",
"1500000US360050027024","Block Group 4; Census Tract 27.02; Bronx County; New York","15391","10843",
"1500000US360050028001","Block Group 1; Census Tract 28; Bronx County; New York","66637","35618",
"1500000US360050028002","Block Group 2; Census Tract 28; Bronx County; New York","57313","22202",
"1500000US360050028003","Block Group 3; Census Tract 28; Bronx County; New York","58700","29846",
"1500000US360050028004","Block Group 4; Census Tract 28; Bronx County; New York","81067","29254",
"1500000US360050031001","Block Group 1; Census Tract 31; Bronx County; New York","41370","14881",
"1500000US360050033001","Block Group 1; Census Tract 33; Bronx County; New York","57679","30341",
"1500000US360050033002","Block Group 2; Census Tract 33; Bronx County; New York","-","**",
"1500000US360050033003","Block Group 3; Census Tract 33; Bronx County; New York","22534","8477",
"1500000US360050035001","Block Group 1; Census Tract 35; Bronx County; New York","48018","36509",
"1500000US360050035002","Block Group 2; Census Tract 35; Bronx County; New York","31071","15652",
"1500000US360050035003","Block Group 3; Census Tract 35; Bronx County; New York","34419","17151",
"1500000US360050037001","Block Group 1; Census Tract 37; Bronx County; New York","-","**",
"1500000US360050038001","Block Group 1; Census Tract 38; Bronx County; New York","88077","63173",
"1500000US360050039001","Block Group 1; Census Tract 39; Bronx County; New York","-","**",
"1500000US360050039002","Block Group 2; Census Tract 39; Bronx County; New York","-","**",
"1500000US360050039003","Block Group 3; Census Tract 39; Bronx County; New York","-","**",
"1500000US360050039004","Block Group 4; Census Tract 39; Bronx County; New York","32946","2794",
"1500000US360050039005","Block Group 5; Census Tract 39; Bronx County; New York","-","**",
"1500000US360050040011","Block Group 1; Census Tract 40.01; Bronx County; New York","70536","13570",
"1500000US360050041001","Block Group 1; Census Tract 41; Bronx County; New York","27112","17424",
"1500000US360050041002","Block Group 2; Census Tract 41; Bronx County; New York","21396","15560",
"1500000US360050041003","Block Group 3; Census Tract 41; Bronx County; New York","-","**",
"1500000US360050041004","Block Group 4; Census Tract 41; Bronx County; New York","35454","28055",
"1500000US360050042001","Block Group 1; Census Tract 42; Bronx County; New York","67091","22477",
"1500000US360050042002","Block Group 2; Census Tract 42; Bronx County; New York","12699","3952",
"1500000US360050042003","Block Group 3; Census Tract 42; Bronx County; New York","51961","36902",
"1500000US360050042004","Block Group 4; Census Tract 42; Bronx County; New York","122879","69198",
"1500000US360050042005","Block Group 5; Census Tract 42; Bronx County; New York","120245","30764",
"1500000US360050042006","Block Group 6; Census Tract 42; Bronx County; New York","-","**",
"1500000US360050042007","Block Group 7; Census Tract 42; Bronx County; New York","-","**",
"1500000US360050043001","Block Group 1; Census Tract 43; Bronx County; New York","-","**",
"1500000US360050043002","Block Group 2; Census Tract 43; Bronx County; New York","41827","16304",
"1500000US360050043003","Block Group 3; Census Tract 43; Bronx County; New York","-","**",
"1500000US360050043004","Block Group 4; Census Tract 43; Bronx County; New York","34156","33399",
"1500000US360050044001","Block Group 1; Census Tract 44; Bronx County; New York","16133","13790",
"1500000US360050044002","Block Group 2; Census Tract 44; Bronx County; New York","16921","11820",
"1500000US360050044003","Block Group 3; Census Tract 44; Bronx County; New York","17096","5783",
"1500000US360050044004","Block Group 4; Census Tract 44; Bronx County; New York","22944","21988",
"1500000US360050046001","Block Group 1; Census Tract 46; Bronx County; New York","17083","11047",
"1500000US360050048001","Block Group 1; Census Tract 48; Bronx County; New York","-","**",
"1500000US360050048002","Block Group 2; Census Tract 48; Bronx County; New York","43333","22926",
"1500000US360050050011","Block Group 1; Census Tract 50.01; Bronx County; New York","33984","14184",
"1500000US360050050012","Block Group 2; Census Tract 50.01; Bronx County; New York","36471","20580",
"1500000US360050050013","Block Group 3; Census Tract 50.01; Bronx County; New York","-","**",
"1500000US360050050014","Block Group 4; Census Tract 50.01; Bronx County; New York","38942","13883",
"1500000US360050050021","Block Group 1; Census Tract 50.02; Bronx County; New York","34590","11908",
"1500000US360050050022","Block Group 2; Census Tract 50.02; Bronx County; New York","-","**",
"1500000US360050050023","Block Group 3; Census Tract 50.02; Bronx County; New York","34583","26331",
"1500000US360050050024","Block Group 4; Census Tract 50.02; Bronx County; New York","49875","21008",
"1500000US360050051001","Block Group 1; Census Tract 51; Bronx County; New York","-","**",
"1500000US360050051002","Block Group 2; Census Tract 51; Bronx County; New York","23629","7385",
"1500000US360050051003","Block Group 3; Census Tract 51; Bronx County; New York","18927","2608",
"1500000US360050052001","Block Group 1; Census Tract 52; Bronx County; New York","42981","36338",
"1500000US360050052002","Block Group 2; Census Tract 52; Bronx County; New York","28750","12846",
"1500000US360050053001","Block Group 1; Census Tract 53; Bronx County; New York","20855","4080",
"1500000US360050053002","Block Group 2; Census Tract 53; Bronx County; New York","30049","6090",
"1500000US360050054001","Block Group 1; Census Tract 54; Bronx County; New York","58421","25414",
"1500000US360050054002","Block Group 2; Census Tract 54; Bronx County; New York","50163","20433",
"1500000US360050054003","Block Group 3; Census Tract 54; Bronx County; New York","60714","43125",
"1500000US360050054004","Block Group 4; Census Tract 54; Bronx County; New York","28311","17778",
"1500000US360050056001","Block Group 1; Census Tract 56; Bronx County; New York","15518","2945",
"1500000US360050056002","Block Group 2; Census Tract 56; Bronx County; New York","-","**",
"1500000US360050056003","Block Group 3; Census Tract 56; Bronx County; New York","41184","17504",
"1500000US360050059021","Block Group 1; Census Tract 59.02; Bronx County; New York","78558","23346",
"1500000US360050059022","Block Group 2; Census Tract 59.02; Bronx County; New York","29605","10378",
"1500000US360050060001","Block Group 1; Census Tract 60; Bronx County; New York","47375","10498",
"1500000US360050060002","Block Group 2; Census Tract 60; Bronx County; New York","-","**",
"1500000US360050061001","Block Group 1; Census Tract 61; Bronx County; New York","-","**",
"1500000US360050061002","Block Group 2; Census Tract 61; Bronx County; New York","66583","23502",
"1500000US360050061003","Block Group 3; Census Tract 61; Bronx County; New York","62250","29677",
"1500000US360050061004","Block Group 4; Census Tract 61; Bronx County; New York","-","**",
"1500000US360050062001","Block Group 1; Census Tract 62; Bronx County; New York","33571","22958",
"1500000US360050062002","Block Group 2; Census Tract 62; Bronx County; New York","23447","16128",
"1500000US360050062003","Block Group 3; Census Tract 62; Bronx County; New York","30645","20186",
"1500000US360050062004","Block Group 4; Census Tract 62; Bronx County; New York","-","**",
"1500000US360050062005","Block Group 5; Census Tract 62; Bronx County; New York","54135","31195",
"1500000US360050063011","Block Group 1; Census Tract 63.01; Bronx County; New York","62857","53850",
"1500000US360050063012","Block Group 2; Census Tract 63.01; Bronx County; New York","46023","32029",
"1500000US360050063013","Block Group 3; Census Tract 63.01; Bronx County; New York","38442","34964",
"1500000US360050063014","Block Group 4; Census Tract 63.01; Bronx County; New York","97328","67021",
"1500000US360050063015","Block Group 5; Census Tract 63.01; Bronx County; New York","-","**",
"1500000US360050063016","Block Group 6; Census Tract 63.01; Bronx County; New York","56543","10946",
"1500000US360050063021","Block Group 1; Census Tract 63.02; Bronx County; New York","-","**",
"1500000US360050064001","Block Group 1; Census Tract 64; Bronx County; New York","42027","12460",
"1500000US360050064002","Block Group 2; Census Tract 64; Bronx County; New York","-","**",
"1500000US360050064003","Block Group 3; Census Tract 64; Bronx County; New York","-","**",
"1500000US360050064004","Block Group 4; Census Tract 64; Bronx County; New York","23173","4544",
"1500000US360050065001","Block Group 1; Census Tract 65; Bronx County; New York","-","**",
"1500000US360050065002","Block Group 2; Census Tract 65; Bronx County; New York","18962","7044",
"1500000US360050065003","Block Group 3; Census Tract 65; Bronx County; New York","28559","8718",
"1500000US360050065004","Block Group 4; Census Tract 65; Bronx County; New York","-","**",
"1500000US360050067001","Block Group 1; Census Tract 67; Bronx County; New York","-","**",
"1500000US360050067002","Block Group 2; Census Tract 67; Bronx County; New York","39301","35364",
"1500000US360050067003","Block Group 3; Census Tract 67; Bronx County; New York","13721","5387",
"1500000US360050067004","Block Group 4; Census Tract 67; Bronx County; New York","16342","10705",
"1500000US360050067005","Block Group 5; Census Tract 67; Bronx County; New York","10440","3881",
"1500000US360050067006","Block Group 6; Census Tract 67; Bronx County; New York","14330","9247",
"1500000US360050068001","Block Group 1; Census Tract 68; Bronx County; New York","33750","10216",
"1500000US360050068002","Block Group 2; Census Tract 68; Bronx County; New York","-","**",
"1500000US360050068003","Block Group 3; Census Tract 68; Bronx County; New York","22548","19258",
"1500000US360050069001","Block Group 1; Census Tract 69; Bronx County; New York","49659","9998",
"1500000US360050069002","Block Group 2; Census Tract 69; Bronx County; New York","-","**",
"1500000US360050069003","Block Group 3; Census Tract 69; Bronx County; New York","-","**",
"1500000US360050069004","Block Group 4; Census Tract 69; Bronx County; New York","-","**",
"1500000US360050070001","Block Group 1; Census Tract 70; Bronx County; New York","36534","34982",
"1500000US360050070002","Block Group 2; Census Tract 70; Bronx County; New York","-","**",
"1500000US360050070003","Block Group 3; Census Tract 70; Bronx County; New York","98580","54220",
"1500000US360050071001","Block Group 1; Census Tract 71; Bronx County; New York","-","**",
"1500000US360050071002","Block Group 2; Census Tract 71; Bronx County; New York","43021","10423",
"1500000US360050072001","Block Group 1; Census Tract 72; Bronx County; New York","59783","21939",
"1500000US360050072002","Block Group 2; Census Tract 72; Bronx County; New York","61719","25833",
"1500000US360050072003","Block Group 3; Census Tract 72; Bronx County; New York","-","**",
"1500000US360050072004","Block Group 4; Census Tract 72; Bronx County; New York","78684","32327",
"1500000US360050073001","Block Group 1; Census Tract 73; Bronx County; New York","-","**",
"1500000US360050073002","Block Group 2; Census Tract 73; Bronx County; New York","52829","41933",
"1500000US360050073003","Block Group 3; Census Tract 73; Bronx County; New York","33100","11828",
"1500000US360050074001","Block Group 1; Census Tract 74; Bronx County; New York","93088","74073",
"1500000US360050074002","Block Group 2; Census Tract 74; Bronx County; New York","30595","25696",
"1500000US360050074003","Block Group 3; Census Tract 74; Bronx County; New York","53198","12408",
"1500000US360050075001","Block Group 1; Census Tract 75; Bronx County; New York","34806","18661",
"1500000US360050075002","Block Group 2; Census Tract 75; Bronx County; New York","42952","21878",
"1500000US360050075003","Block Group 3; Census Tract 75; Bronx County; New York","-","**",
"1500000US360050075004","Block Group 4; Census Tract 75; Bronx County; New York","28281","23999",
"1500000US360050076001","Block Group 1; Census Tract 76; Bronx County; New York","79760","39551",
"1500000US360050076002","Block Group 2; Census Tract 76; Bronx County; New York","35994","27522",
"1500000US360050076003","Block Group 3; Census Tract 76; Bronx County; New York","47917","27354",
"1500000US360050076004","Block Group 4; Census Tract 76; Bronx County; New York","46375","26715",
"1500000US360050076005","Block Group 5; Census Tract 76; Bronx County; New York","72386","28333",
"1500000US360050077001","Block Group 1; Census Tract 77; Bronx County; New York","48846","15203",
"1500000US360050078001","Block Group 1; Census Tract 78; Bronx County; New York","163424","74371",
"1500000US360050078002","Block Group 2; Census Tract 78; Bronx County; New York","58050","37543",
"1500000US360050078003","Block Group 3; Census Tract 78; Bronx County; New York","-","**",
"1500000US360050078004","Block Group 4; Census Tract 78; Bronx County; New York","69931","19889",
"1500000US360050079001","Block Group 1; Census Tract 79; Bronx County; New York","-","**",
"1500000US360050079002","Block Group 2; Census Tract 79; Bronx County; New York","-","**",
"1500000US360050079003","Block Group 3; Census Tract 79; Bronx County; New York","-","**",
"1500000US360050079004","Block Group 4; Census Tract 79; Bronx County; New York","56469","10944",
"1500000US360050079005","Block Group 5; Census Tract 79; Bronx County; New York","52873","42169",
"1500000US360050079006","Block Group 6; Census Tract 79; Bronx County; New York","-","**",
"1500000US360050083001","Block Group 1; Census Tract 83; Bronx County; New York","76944","21196",
"1500000US360050083002","Block Group 2; Census Tract 83; Bronx County; New York","37365","28213",
"1500000US360050083003","Block Group 3; Census Tract 83; Bronx County; New York","112118","104311",
"1500000US360050083004","Block Group 4; Census Tract 83; Bronx County; New York","44709","10626",
"1500000US360050083005","Block Group 5; Census Tract 83; Bronx County; New York","51265","23044",
"1500000US360050083006","Block Group 6; Census Tract 83; Bronx County; New York","37702","22891",
"1500000US360050084001","Block Group 1; Census Tract 84; Bronx County; New York","71092","10447",
"1500000US360050084002","Block Group 2; Census Tract 84; Bronx County; New York","54736","33897",
"1500000US360050085001","Block Group 1; Census Tract 85; Bronx County; New York","69375","64088",
"1500000US360050085002","Block Group 2; Census Tract 85; Bronx County; New York","29310","13841",
"1500000US360050085003","Block Group 3; Census Tract 85; Bronx County; New York","70313","54924",
"1500000US360050085004","Block Group 4; Census Tract 85; Bronx County; New York","14413","9809",
"1500000US360050085005","Block Group 5; Census Tract 85; Bronx County; New York","34250","10253",
