"GEO_ID","NAME","B19013_001E","B19013_001M","POPGROUP","POPGROUP_LABEL",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Race/Ethnic Group","Population Groups",
"1400000US36005000100","Census Tract 1; Bronx County; New York","null","null","001","Total population",
"1400000US36005000200","Census Tract 2; Bronx County; New York","72034","13991","001","Total population",
"1400000US36005000400","Census Tract 4; Bronx County; New York","74836","8407","001","Total population",
"1400000US36005001600","Census Tract 16; Bronx County; New York","32312","6859","001","Total population",
"1400000US36005001900","Census Tract 19, Bronx County, New York","37936","3771","001","Total population",
"1400000US36005002000","Census Tract 20, Bronx County, New York","18086","3694","001","Total population",
"1400000US36005002300","Census Tract 23; Bronx County; New York","14479","1901","001","Total population",
"1400000US36005002500","Census Tract 25; Bronx County; New York","17226","6097","001","Total population",
"1400000US36005002701","Census Tract 27.01; Bronx County; New York","20153","5229","001","Total population",
"1400000US36005002702","Census Tract 27.02; Bronx County; New York","17147","7165","001","Total population",
"1400000US36005002800","Census Tract 28; Bronx County; New York","49529","5441","001","Total population",
"1400000US36005003100","Census Tract 31; Bronx County; New York","37250","12079","001","Total population",
"1400000US36005003300","Census Tract 33; Bronx County; New York","19923","2402","001","Total population",
"1400000US36005003500","Census Tract 35; Bronx County; New York","26541","7009","001","Total population",
"1400000US36005003800","Census Tract 38; Bronx County; New York","37685","6696","001","Total population",
"1400000US36005003900","Census Tract 39; Bronx County; New York","25990","6323","001","Total population",
"1400000US36005004001","Census Tract 40.01; Bronx County; New York","48056","6057","001","Total population",
"1400000US36005004100","Census Tract 41; Bronx County; New York","18636","3658","001","Total population",
"1400000US36005004200","Census Tract 42; Bronx County; New York","25741","7845","001","Total population",
"1400000US36005004300","Census Tract 43; Bronx County; New York","21448","3092","001","Total population",
"1400000US36005004400","Census Tract 44; Bronx County; New York","22719","2899","001","Total population",
"1400000US36005004600","Census Tract 46; Bronx County; New York","40950","10707","001","Total population",
"1400000US36005004800","Census Tract 48; Bronx County; New York","30301","4692","001","Total population",
"1400000US36005005001","Census Tract 50.01; Bronx County; New York","27456","9296","001","Total population",
"1400000US36005005002","Census Tract 50.02; Bronx County; New York","28039","5380","001","Total population",
"1400000US36005005100","Census Tract 51; Bronx County; New York","18633","2086","001","Total population",
"1400000US36005005200","Census Tract 52; Bronx County; New York","17756","3843","001","Total population",
"1400000US36005005300","Census Tract 53; Bronx County; New York","17719","4121","001","Total population",
"1400000US36005005400","Census Tract 54; Bronx County; New York","27380","6078","001","Total population",
"1400000US36005005600","Census Tract 56; Bronx County; New York","17771","4860","001","Total population",
"1400000US36005005902","Census Tract 59.02; Bronx County; New York","38542","6531","001","Total population",
"1400000US36005006000","Census Tract 60; Bronx County; New York","41190","4642","001","Total population",
"1400000US36005006100","Census Tract 61; Bronx County; New York","48298","9993","001","Total population",
"1400000US36005006200","Census Tract 62; Bronx County; New York","24480","5909","001","Total population",
"1400000US36005006300","Census Tract 63, Bronx County, New York","32064","4061","001","Total population",
"1400000US36005006400","Census Tract 64; Bronx County; New York","30726","8555","001","Total population",
"1400000US36005006500","Census Tract 65; Bronx County; New York","21384","5108","001","Total population",
"1400000US36005006700","Census Tract 67; Bronx County; New York","21016","4709","001","Total population",
"1400000US36005006800","Census Tract 68; Bronx County; New York","47232","11781","001","Total population",
"1400000US36005006900","Census Tract 69; Bronx County; New York","19741","7359","001","Total population",
"1400000US36005007000","Census Tract 70; Bronx County; New York","34191","7201","001","Total population",
"1400000US36005007100","Census Tract 71; Bronx County; New York","38289","6810","001","Total population",
"1400000US36005007200","Census Tract 72; Bronx County; New York","37634","8074","001","Total population",
"1400000US36005007300","Census Tract 73; Bronx County; New York","18358","5706","001","Total population",
"1400000US36005007400","Census Tract 74; Bronx County; New York","44455","7777","001","Total population",
"1400000US36005007500","Census Tract 75; Bronx County; New York","25452","5317","001","Total population",
"1400000US36005007600","Census Tract 76; Bronx County; New York","33465","6930","001","Total population",
"1400000US36005007700","Census Tract 77; Bronx County; New York","26486","7002","001","Total population",
"1400000US36005007800","Census Tract 78; Bronx County; New York","30437","12004","001","Total population",
"1400000US36005007900","Census Tract 79; Bronx County; New York","24278","9630","001","Total population",
"1400000US36005008300","Census Tract 83; Bronx County; New York","19818","8210","001","Total population",
"1400000US36005008400","Census Tract 84; Bronx County; New York","60135","8334","001","Total population",
"1400000US36005008500","Census Tract 85; Bronx County; New York","27174","7981","001","Total population",
"1400000US36005008600","Census Tract 86; Bronx County; New York","23045","6048","001","Total population",
"1400000US36005008700","Census Tract 87; Bronx County; New York","29188","5168","001","Total population",
"1400000US36005008900","Census Tract 89; Bronx County; New York","20849","7996","001","Total population",
"1400000US36005009000","Census Tract 90; Bronx County; New York","27000","12365","001","Total population",
"1400000US36005009200","Census Tract 92; Bronx County; New York","35227","8725","001","Total population",
"1400000US36005009300","Census Tract 93, Bronx County, New York","30159","4279","001","Total population",
"1400000US36005009600","Census Tract 96; Bronx County; New York","41250","7688","001","Total population",
"1400000US36005009800","Census Tract 98; Bronx County; New York","57438","12832","001","Total population",
"1400000US36005011502","Census Tract 115.02; Bronx County; New York","21765","5551","001","Total population",
"1400000US36005011700","Census Tract 117, Bronx County, New York","25483","7151","001","Total population",
"1400000US36005011800","Census Tract 118; Bronx County; New York","83077","11253","001","Total population",
"1400000US36005011900","Census Tract 119; Bronx County; New York","22097","5308","001","Total population",
"1400000US36005012101","Census Tract 121.01; Bronx County; New York","27813","4935","001","Total population",
"1400000US36005012102","Census Tract 121.02; Bronx County; New York","20028","4672","001","Total population",
"1400000US36005012300","Census Tract 123; Bronx County; New York","21300","9643","001","Total population",
"1400000US36005012500","Census Tract 125; Bronx County; New York","26348","2834","001","Total population",
"1400000US36005012701","Census Tract 127.01; Bronx County; New York","18641","3928","001","Total population",
"1400000US36005012901","Census Tract 129.01; Bronx County; New York","18269","4443","001","Total population",
"1400000US36005013000","Census Tract 130; Bronx County; New York","77917","19751","001","Total population",
"1400000US36005013100","Census Tract 131; Bronx County; New York","25271","7236","001","Total population",
"1400000US36005013200","Census Tract 132; Bronx County; New York","96701","6298","001","Total population",
"1400000US36005013300","Census Tract 133; Bronx County; New York","25282","8305","001","Total population",
"1400000US36005013500","Census Tract 135; Bronx County; New York","23279","5337","001","Total population",
"1400000US36005013800","Census Tract 138; Bronx County; New York","79773","16378","001","Total population",
"1400000US36005014100","Census Tract 141; Bronx County; New York","32500","6835","001","Total population",
"1400000US36005014300","Census Tract 143; Bronx County; New York","12000","5279","001","Total population",
"1400000US36005014400","Census Tract 144; Bronx County; New York","19418","3697","001","Total population",
"1400000US36005014500","Census Tract 145; Bronx County; New York","22711","11074","001","Total population",
"1400000US36005014701","Census Tract 147.01; Bronx County; New York","14334","4251","001","Total population",
"1400000US36005014702","Census Tract 147.02; Bronx County; New York","17782","2306","001","Total population",
"1400000US36005014900","Census Tract 149; Bronx County; New York","27212","7590","001","Total population",
"1400000US36005015100","Census Tract 151; Bronx County; New York","30339","4993","001","Total population",
"1400000US36005015200","Census Tract 152; Bronx County; New York","70162","5637","001","Total population",
"1400000US36005015300","Census Tract 153; Bronx County; New York","19630","5355","001","Total population",
"1400000US36005015500","Census Tract 155; Bronx County; New York","21136","2778","001","Total population",
"1400000US36005015700","Census Tract 157; Bronx County; New York","33785","6549","001","Total population",
"1400000US36005015800","Census Tract 158; Bronx County; New York","77045","10438","001","Total population",
"1400000US36005015900","Census Tract 159; Bronx County; New York","16027","5922","001","Total population",
"1400000US36005016000","Census Tract 160; Bronx County; New York","77216","22985","001","Total population",
"1400000US36005016100","Census Tract 161; Bronx County; New York","12467","6442","001","Total population",
"1400000US36005016200","Census Tract 162; Bronx County; New York","70682","32797","001","Total population",
"1400000US36005016400","Census Tract 164; Bronx County; New York","60682","17257","001","Total population",
"1400000US36005016500","Census Tract 165; Bronx County; New York","26645","9252","001","Total population",
"1400000US36005016600","Census Tract 166; Bronx County; New York","63421","14767","001","Total population",
"1400000US36005016700","Census Tract 167; Bronx County; New York","27222","5912","001","Total population",
"1400000US36005016900","Census Tract 169; Bronx County; New York","27697","10117","001","Total population",
"1400000US36005017300","Census Tract 173; Bronx County; New York","18720","5158","001","Total population",
"1400000US36005017500","Census Tract 175; Bronx County; New York","22000","8045","001","Total population",
"1400000US36005017701","Census Tract 177.01; Bronx County; New York","25022","9623","001","Total population",
"1400000US36005017702","Census Tract 177.02; Bronx County; New York","23485","4504","001","Total population",
"1400000US36005017901","Census Tract 179.01; Bronx County; New York","21376","4131","001","Total population",
"1400000US36005017902","Census Tract 179.02; Bronx County; New York","20852","10152","001","Total population",
"1400000US36005018101","Census Tract 181.01; Bronx County; New York","27371","3090","001","Total population",
"1400000US36005018102","Census Tract 181.02; Bronx County; New York","38250","3785","001","Total population",
"1400000US36005018301","Census Tract 183.01; Bronx County; New York","29987","2690","001","Total population",
"1400000US36005018302","Census Tract 183.02; Bronx County; New York","31324","5646","001","Total population",
"1400000US36005018400","Census Tract 184; Bronx County; New York","60518","13541","001","Total population",
