PARID,BORO,BLOCK,LOT,EASE,RECTYPE,YEAR,REUC,PERIOD,EXMP_CODE,EXMP_CODE-SUFFIX,EXMP_SEQ,NYS_EXMP_CODE,PSTATUS,COOP_NUM,CONDO_NUMBER,CONDO_SFX,PYEXMPTOT,PYEXMPTRN,PYEXMPTXBL,TENEXMPTOT,TENEXMPTRN,TENEXMPTXBL,CBNEXMPTOT,CBNEXMPTRN,CBNEXMPTXBL,FINEXMPTOT,FINEXMPTRN,FINEXMPTXBL,CUREXMPTOT,CUREXMPTRN,CUREXMPTXBL,Create date,EXNAME,Percent 1,Percent 2,ENTER_DATE,Percent 4,OWNER2,PYINCRPCT1,PYINCRPCT2,PYINCRPCT3,PYINCRPCT4,STATUS,COMPUTE_FLG,PYPARTIALPCT,NO_YEARS,BASEYR,BASETOT,BASETRNTOT,GARGCOMACT,GARGCOMPCT,GARGCOMTRN,BENFTSTART,ICIP_APPNO,421G_CERT,EFF_DATE,PRELIMDATE,421G base value ACT,J51 prev exmpt ACT,J51 prev exmpt TRN,J51 base val ACT,J51 vase val TRN,CASENO,LLINE,EXTRACTDT,BLDG-CLASS,FINTAXCLASS,Percent 3,J51 Govt Financed
3011241101,3,1124,1101,,1,2023,,1,5114,51141,2,48806,A,0,302060,C1,54074,62758,54074,54074,60935,54074,0,0,0,0,0,0,54074,60935,54074,01/01/2010,PACIFIC BLUE HOMEOWNERS ASSOCIATION INC,0,0,,0,,0,0,0,0,A,A,+100,25,+2005,+00000000264,+00000000264,+00000000000,+000.0000000,+00000000000,+2010,0,,2010,2005,0,0,0,0,0,27122327,+0001,20220109,RA,4,+000.000000,N
3011321201,3,1132,1201,,1,2023,,1,5114,51141,4,48806,A,0,302930,C1,326651,384521,326651,368051,378941,368051,0,0,0,0,0,0,368051,378941,368051,01/01/2011,"PACIFIC BLUE HOMEOWNERS ASSOCIATION, INC",0,0,,0,,0,0,0,0,A,A,+100,25,+2006,+00000004099,+00000004099,+00000000000,+000.0000000,+00000000000,+2011,0,,2011,2006,0,0,0,0,0,27129084,+0001,20220109,RK,4,+000.000000,N
3021341101,3,2134,1101,,1,2023,,1,5114,51141,3,48806,A,0,301396,C1,252294,289116,252294,290094,295147,290094,0,0,0,0,0,0,290094,295147,290094,01/01/2008,THE SCHAEFER LANDING HOMEOWNERS ASSOCIAT,0,0,,0,,0,0,0,0,A,A,+100,25,+2003,+00000001956,+00000001956,+00000000000,+000.0000000,+00000000000,+2008,0,,2008,2003,0,0,0,0,0,27071866,+0001,20220109,RB,4,+000.000000,N
3044520208,3,4452,208,,1,2023,,1,5112,51121,3,48106,A,0,,,5040,6482,5040,6900,6798,6798,0,0,0,0,0,0,6900,6798,6798,01/01/2016,NEHEMIAH SPRING CREEK AFFORDABLE HOMEOWN,0,0,,0,,0,0,0,0,A,A,+100,20,+2015,+00000006900,+00000006798,+00000000000,+000.0000000,+00000000000,+2016,0,,2016,2015,0,0,0,0,0,27126854,+0001,20220109,A5,1,+000.000000,N
3044520209,3,4452,209,,1,2023,,1,5112,51121,3,48106,A,0,,,18900,18900,18900,18900,18900,18900,0,0,0,0,0,0,18900,18900,18900,01/01/2016,NEHEMIAH SPRING CREEK AFFORDABLE HOMEOWN,0,0,,0,,0,0,0,0,A,M,+100,20,+2015,+00000018900,+00000018900,+00000000000,+000.0000000,+00000000000,+2016,0,,2016,2015,0,0,0,0,0,27126868,+0001,20220109,A5,1,+000.000000,N
3044520210,3,4452,210,,1,2023,,1,5112,51121,3,48106,A,0,,,19020,19020,19020,19020,19020,19020,0,0,0,0,0,0,19020,19020,19020,01/01/2016,NEHEMIAH SPRING CREEK AFFORDABLE HOMEOWN,0,0,,0,,0,0,0,0,A,M,+100,20,+2015,+00000019020,+00000019020,+00000000000,+000.0000000,+00000000000,+2016,0,,2016,2015,0,0,0,0,0,27126880,+0001,20220109,A5,1,+000.000000,N
3044520211,3,4452,211,,1,2023,,1,5112,51121,3,48106,A,0,,,19140,19140,19140,19140,19140,19140,0,0,0,0,0,0,19140,19140,19140,01/01/2016,NEHEMIAH SPRING CREEK AFFORDABLE HOMEOWN,0,0,,0,,0,0,0,0,A,M,+100,20,+2015,+00000019140,+00000019140,+00000000000,+000.0000000,+00000000000,+2016,0,,2016,2015,0,0,0,0,0,27126892,+0001,20220109,A5,1,+000.000000,N
3044520212,3,4452,212,,1,2023,,1,5112,51121,3,48106,A,0,,,19140,19140,19140,19140,19140,19140,0,0,0,0,0,0,19140,19140,19140,01/01/2016,NEHEMIAH SPRING CREEK AFFORDABLE HOMEOWN,0,0,,0,,0,0,0,0,A,M,+100,20,+2015,+00000019140,+00000019140,+00000000000,+000.0000000,+00000000000,+2016,0,,2016,2015,0,0,0,0,0,27126904,+0001,20220109,A5,1,+000.000000,N
3044520213,3,4452,213,,1,2023,,1,5112,51121,3,48106,A,0,,,19140,19140,19140,19140,19140,19140,0,0,0,0,0,0,19140,19140,19140,01/01/2016,NEHEMIAH SPRING CREEK AFFORDABLE HOMEOWN,0,0,,0,,0,0,0,0,A,M,+100,20,+2015,+00000019140,+00000019140,+00000000000,+000.0000000,+00000000000,+2016,0,,2016,2015,0,0,0,0,0,27126916,+0001,20220109,A5,1,+000.000000,N
3044520214,3,4452,214,,1,2023,,1,5112,51121,3,48106,A,0,,,19140,19140,19140,19140,19140,19140,0,0,0,0,0,0,19140,19140,19140,01/01/2016,NEHEMIAH SPRING CREEK AFFORDABLE HOMEOWN,0,0,,0,,0,0,0,0,A,M,+100,20,+2015,+00000019140,+00000019140,+00000000000,+000.0000000,+00000000000,+2016,0,,2016,2015,0,0,0,0,0,27126928,+0001,20220109,A5,1,+000.000000,N
